username,komentar,Sentimen
@GeraldCooney,"anehnya pecinta sound horeg, kalau pakai genre musik lain selain koplo mereka merasa terganggu",-1
@Supersonicec,"maaf kak, acara sound horeg itu juga melalui jalur hukum yang sah, mengurus perizinan dari tintidakat RT sampai polres, mulai pucuk sampai akar-akarnya, kalau dibilang SDM rendah kurang cocok sih! lagian suara yang dihasilkan rata-rata 110db di masih batas aman, dan rental pun juga punya SOP. Yang membuat budek itu frekuensi tinggi ya, melebihi 20.000 hz atau 150db keatas. Dan yang dinamakan horeg = getaran ialah suara frekuensi rendah yang dihasilkan oleh subwoofer.
Subwoofer sendiri menghasilkan frekuensi rendah 25 hz sampai 75 hz dan desibel yang dihasilkan pun 75db sampai 80db, yang membuat suara sampai 110db ialah 'line array' speaker yang menghasilkan frekuensi tinggi, speaker Yang menghasilkan suara seperti contoh: vokal, terompet dan lain-lain. Yah pokoknya melody frekuensi tinggi lah..
jadi horeg itu tidak seperti yang orang² bayantidakan, yang katanya bikin budek, bikin ini, itulah, apalah. Kalau ngomongin SDM ya lihat saja peralatan sound horeg itu sendiri gimana cara kerjanya
SDM rendah itu sebenarnya, orang yang kebelet hate komen tanpa tau fakta dilapangan! lihat saja komentar para netizen si paling SDM dari cara penyampaiannya saja sudah keliatan, dari balas komen, atau bahkan rasis bawa-bawa suku.
 dan terlihat dari banyaknya hujatan jadi tau kenapa kok Indonesia ini sdmnya dikatakan rendah
Ingat sound horeg adalah ekonomi kreatif yang bisa memutar roda perekonomian warga, terdapat ribuan UMKM yang berputar roda perekonomiannya di 1 acara ini.

Baca yang teliti jgn minim literasi!
ngomongin soal keganggu ya pasti ada, tapi ini acara bukan tiap hari dan tidak ilegal mereka menggelar acara ini 100% legal dan sudah lewat jalur prosedur hukum yang sah.
Kalau ngomongin soal hukum 100% anda salah.
Menghakimi harus mendengarkan aspirasi dan berbagai sudut pandang banyak pihak, dan itu di jadiin satu di saring, dipertimbantidakan lagi, contoh dari sektor ekonomi ssaja 1 kali event, itu berapa ratus juta atau bahkan milyaran uang yang berputar mulai kang parkir, rental sound, tranport. salon kecantikan, rental kostum, rental lighting, fotografer, vidio shooting, para konten kreator, dan para pedagang mulai penjual makanan, minuman,mainan anak, dan bahkan penjual kaos, topi dan lain-lain bahkan ""maaf sebelumnya"" pemulung pun juga ikut merasakan dampak positif dari acara ini.
SDM tinggi itu sangat kritis tidak memandang dari 1 sisi sudut pandang atau bahkan cuma lihat dari potongan vidio
Btw konten kreator seperti gini kok banyak yang subscribe sih?

Lho tu konten kreator bre..
Lho tidak boleh lihat dari 1 sudut pandang
Kalau mentidakaji langsung dilokasi bro...
90% dari kegiatan ini itu positif

Hmmm dari sini keliatan sdm stevenyoung
Pasti iq 78 juga

SDM rendah biasanya males baca segini panjangnya",1
@NATARoam,"Pro: kalau digunakan di tempat lapang
Kontra: kalau digunakan di jalan kampung",0
@hisyamarif156,"Gua sesuka apapun sama suatu lagu, gua selalu mendengarkan pakai headset. Mau itu lagu yang lagi trending, mau itu lagu sejuta umat, gua tetap pakai headset. Karena gua mikir selera lagu orang-orang beda-beda, gua khawatir kalau gua nantinya ngeganggu orang lain.",-1
@mk_reall,"Betul ini mah, di desaku yang kemarin sama kepdes dilarang malah kepdesnya setiap hari kena hujatan + kata-kata pedas sama pemuda-pemuda. Dengan alibi pemuda mau kompak tidak didukung pemerintahan blablabla wkwk. Lucu sih memang haha. Tapi jujurli sebagai orang yang jarang di rumah dan di rumah hanya ingin tidur dan istirahat jadi terganggu .",-1
@antodwi2796,"Aku Jawa dan aku tidak suka, apalagi waktu ramadan. Habis isya sampai jam 12 malam terus",-1
@yohanes2559,"Sound horeg memang kebanyakan dari Jawa timur tapi itu bukan tradisi orang Jawa timur itu aslinya tradisi orang Madura, karena orang Madura banyak yang menetap di Jatim ya jadi beBegitu, orang asli Jatim sendiri tidak suka tradisi sound horeg malah tidak ikutan",-1
@Daff228,"Sejujurnya aku masih bingung harus pro atau kontra, aku paham betapa mengganggunya sound horeg ini, tapi di lain sisi aku juga paham keseruannya dengerin musik dengan volume tinggi, menurutku harus ada regulasi dari pemerintah baik pusat maupun daerah yang ngatur soal sound horeg ini, contohnya seperti ""ada daerah khusus untuk sound horeg lewat, tidak boleh lewat di jam jam dan di hari hari tertentu, pembatasan volume musik, dan lain-lain""",0
@에빈아난다,pernah sekali lewat pas acara sound-sound gini tuh. mobil brio saja di dalamnya sampai getar saking kencangnya. terus jantung tuh kaya sakit jedag jedug banget Begitu sumpah. tidak ada untungnya,-1
@ebiy_katsu,"Apakah musik-musik yang dimainkan bisa dikategorikan sebagai ""budaya"" negara kita?
Apakah intensitas suaranya beneran bisa dinikmati secara normal..?
Begitu saja si...",-1
@vandivx,"wah kalau saya yang tinggal di bandung keliatannya di pihak yang tidak suka berisik dan akan terganggu kalau ada yang seperti gini, kelurahan dekat rumah saja sudah malam sekitar jam 8an berisik musik keras-keras saya tegur minta dikecilin.. kalau siang mungkin masih toleransi (kecuali ada orang sakit pasti komplain) tapi kalau sudah malam waktunya orang kerja istirahat di rumah tiba-tiba ada yang pasang musik outdoor keras-keras langsung saya komplain.. ngerti mereka mungkin sambil ngumpul butuh musik untuk hiburan tapi kan cukup didengar ama mereka saja tidak mesti harus se rw kebisingan..",-1
@farghietazakka5696,Ya sound horeg si tidak masalah ya kalau di tempatkan di tempat yang bener seperti tengah lapangan yang luas yang jauh dr rumah warga.. kalau dipakai saat di jalan apalagi lewat rumah warga mengganggu meresahkan warga.. apalagi sampai merusak merusak.. illfeel gw,0
@rjvmvss,"Saya jelasin ya mas. Bisa kamu sematkan komentar ini!

Sound horeg itu lahir sekitar tahun 2016 hingga saat ini. Karena saya orang Jawa timur. Dan tidak semena mena ada sound horeg tanpa ada yang mengundang. Sound horeg itu ada karena ada yang suka. 

Acara karnaval horeg juga diadakan oleh warga setempat, musyawarah, pembahasan tentang kerusakan yang akan ditimbulkan, orang yang lagi sakit, atau bayi. Nanti akan dibuat peraturan suara tentang hal itu. Jadi, sound horeg ini bukan oknum lagi, tapi memang dari banyak kalangan yang menyetujui adanya karnaval ini. 


Pernah di desaku kumpulan, ternyata tidak jadi karena jalan nasional. Dan para warga juga banyak yang tidak setuju. Maka ditiadakanlah acaranya. Kalau mereka setuju, ya lanjut.

Mungkin sekian mas stevanyoung yang terhormat. Kami para pelaku rental sound juga mengikuti apa permintaan penyewa. Jadi kami tidak semena mena untuk langsung menyetel musik dengan keras tanpa persetujuan. 

Untuk masalah kerusakan, semua ditanggung panitia, kadang yang nyewa sound mengganti kerusakan itu. Terus untuk bayi yang meninggal karena acara itu, kebanyakan ikut ortunya untuk melihat sound horeg. Misal desa A mengadakan karnaval, warga desa B ada yang melihat dan bawa bayi. Gua saksi kok. Banyak banget yang seperti gitu.

Jadi acara seperti gini sudah ditentukan tempatnya, sesuai dengan perjanjian. Gua juga risih kok kalau mereka tiba tiba ceksound horeg tanpa ada acara apa apa. Terimakasih  mohon disematkan agar masyarakat banyak yang paham dan tidak menelaah mentah mentah!",0
@cahyaprayoga0475,gua jawa tapi alhamdulillah komplek gua tidak pernah ada horeg,-1
